window,i_start,i_end,depth,mean_soc,count
10-90%,2657,2710,0.8000000000000003,0.5000000000000001,0.5
10-90%,2710,2730,0.8000000000000003,0.5000000000000001,0.5
10-90%,2732,2741,0.8,0.5,1.0
10-90%,2730,2743,0.8000000000000003,0.5000000000000001,0.5
10-90%,2754,2757,0.3873416072759868,0.7063291963620068,1.0
10-90%,2767,2778,0.22167949831116063,0.4866973469361765,1.0
10-90%,2743,2765,0.8000000000000003,0.5000000000000001,0.5
10-90%,2779,2789,0.010676332654313671,0.10533816632715674,1.0
10-90%,2791,2801,0.4135987618472324,0.3067993809236161,1.0
10-90%,2765,2803,0.8000000000000003,0.5000000000000001,0.5
10-90%,2813,2820,0.8000000000000002,0.5000000000000001,1.0
10-90%,2803,2824,0.8000000000000003,0.5000000000000001,0.5
10-90%,2824,2827,0.8000000000000003,0.5000000000000001,0.5
10-90%,2827,2837,0.8000000000000003,0.5000000000000001,0.5
10-90%,2837,2839,0.8000000000000003,0.5000000000000001,0.5
10-90%,2839,2849,0.8000000000000003,0.5000000000000001,0.5
10-90%,2862,2865,0.030905274923623646,0.5719279517425764,1.0
10-90%,2849,2852,0.8000000000000003,0.5000000000000001,0.5
10-90%,2874,2876,0.7418914267993043,0.529054286600348,1.0
10-90%,2898,2900,0.3108548223272019,0.7445725888363992,1.0
10-90%,2852,2909,0.8000000000000003,0.5000000000000001,0.5
10-90%,2909,2915,0.8000000000000003,0.5000000000000001,0.5
10-90%,2915,2922,0.8000000000000003,0.5000000000000001,0.5
10-90%,2922,2925,0.8000000000000003,0.5000000000000001,0.5
10-90%,2933,2934,0.4058376137758261,0.697081193112087,1.0
10-90%,2949,2957,0.23597940298933756,0.7820102985053312,1.0
10-90%,2925,2946,0.8000000000000003,0.5000000000000001,0.5
10-90%,2959,2969,0.8,0.5,1.0
10-90%,2971,2981,0.4868819554440708,0.3434409777220353,1.0
10-90%,2946,2983,0.8000000000000003,0.5000000000000001,0.5
10-90%,2983,2993,0.8000000000000003,0.5000000000000001,0.5
10-90%,2993,2996,0.8000000000000003,0.5000000000000001,0.5
10-90%,3005,3011,0.8000000000000002,0.5000000000000001,1.0
10-90%,2996,3018,0.8000000000000003,0.5000000000000001,0.5
10-90%,3020,3023,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,3024,3026,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,3018,3031,0.8000000000000003,0.5000000000000001,0.5
10-90%,3031,3041,0.8000000000000003,0.5000000000000001,0.5
10-90%,3041,3047,0.8000000000000003,0.5000000000000001,0.5
10-90%,3047,3066,0.8000000000000003,0.5000000000000001,0.5
10-90%,3066,3069,0.8000000000000003,0.5000000000000001,0.5
10-90%,3077,3082,0.8000000000000002,0.5000000000000001,1.0
10-90%,3069,3089,0.8000000000000003,0.5000000000000001,0.5
10-90%,3101,3107,0.5472251383730272,0.3736125691865136,1.0
10-90%,3089,3091,0.8000000000000003,0.5000000000000001,0.5
10-90%,3114,3116,9.473903143468003e-17,0.3484939766885341,1.0
10-90%,3091,3109,0.8000000000000003,0.5000000000000001,0.5
10-90%,3125,3131,0.8,0.5,1.0
10-90%,3109,3120,0.8000000000000003,0.5000000000000001,0.5
10-90%,3120,3138,0.8000000000000003,0.5000000000000001,0.5
10-90%,3138,3141,0.8000000000000003,0.5000000000000001,0.5
10-90%,3159,3161,0.2776960601678719,0.7611519699160642,1.0
10-90%,3155,3162,0.8,0.5,1.0
10-90%,3141,3148,0.8000000000000003,0.5000000000000001,0.5
10-90%,3174,3180,0.8,0.5,1.0
10-90%,3184,3193,0.05456536504639568,0.8727173174768021,1.0
10-90%,3148,3166,0.8000000000000003,0.5000000000000001,0.5
10-90%,3166,3196,0.8000000000000003,0.5000000000000001,0.5
10-90%,3199,3201,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,3196,3202,0.8000000000000003,0.5000000000000001,0.5
10-90%,3202,3210,0.8000000000000003,0.5000000000000001,0.5
10-90%,3210,3213,0.8000000000000003,0.5000000000000001,0.5
10-90%,3234,3237,0.23011979886100553,0.7849401005694974,1.0
10-90%,3213,3245,0.8000000000000003,0.5000000000000001,0.5
10-90%,3245,3247,0.8000000000000003,0.5000000000000001,0.5
10-90%,3247,3257,0.8000000000000003,0.5000000000000001,0.5
10-90%,3264,3265,1.8947806286936006e-16,0.4230303846027114,1.0
10-90%,3260,3269,0.8,0.5,1.0
10-90%,3271,3281,0.8,0.5,1.0
10-90%,3287,3291,0.1539392307945773,0.5,1.0
10-90%,3283,3292,0.8,0.5,1.0
10-90%,3311,3329,0.33595857456362316,0.2679792872818116,1.0
10-90%,3295,3305,0.8,0.5,1.0
10-90%,3352,3353,4.7369515717340015e-17,0.416067968691756,1.0
10-90%,3344,3354,0.316067968691756,0.258033984345878,1.0
10-90%,3331,3341,0.8,0.5,1.0
